2372 27 2 1 1 38 11 1 1 195 2 3 51 6 2 114 1 0 5 16 3 8 0 17 82
169 21 1121 323 17 66 33 215 346 0 146 112 0 58 237 436 8 14 15 12 10 7 4 178 91
1966 21 12 5 33 249 1 18 58 93 36 8 69 16 53 25 0 0 0 19 45 5 0 7 464
710 83 184 14 150 26 4 4 195 94 39 6 82 13 6 291 1 53 6 14 10 20 5 43 392
552 37 172 211 24 337 14 10 117 1 10 6 99 11 563 445 39 28 89 28 1 6 1 7 4
902 97 6 33 153 11 45 45 14 0 18 134 0 30 534 22 1 23 53 23 33 109 146 286 822
301 183 11 0 0 20 1 6 111 10 4 60 51 4 29 2481 156 15 5 2 5 11 13 0 253
1038 14 4 68 81 660 10 13 3 1 21 7 1 35 25 269 102 16 22 0 34 49 25 821 56
6 0 31 41 78 287 38 17 44 72 85 238 1 14 2 1725 1 10 308 15 1 0 1 21 7
125 255 94 1 51 226 0 4 156 0 20 794 0 12 15 141 6 66 285 3 616 20 28 42 383
75 34 152 0 0 159 10 9 15 32 111 137 129 13 43 877 3 1 374 5 10 2 13 11 405
138 22 156 488 36 86 6 1 4 3 216 35 2 23 6 306 27 89 99 3 41 13 34 39 1032
1220 8 20 21 25 127 2 2 944 5 14 27 4 11 22 118 5 7 68 1 4 16 3 35 86
269 180 463 181 90 418 0 26 30 9 37 36 0 15 11 49 6 18 46 74 105 33 7 238 708
780 70 17 49 254 20 176 2 73 21 591 19 6 101 1 23 2 2 48 62 11 0 17 278 422
379 8 11 0 731 63 2 82 1 49 108 6 11 14 1 2 0 3 220 172 3 9 7 367 884
267 54 188 85 242 109 19 13 34 0 53 8 17 20 122 125 41 47 451 47 27 18 6 25 527
1589 3 3 58 20 791 1 0 167 29 3 20 22 3 1 75 0 3 5 68 128 15 30 1 876
195 88 107 24 167 79 87 214 12 7 113 132 32 28 7 476 42 40 425 59 0 19 4 7 46
139 8 259 6 8 534 0 0 1 7 18 3 15 58 10 445 0 10 17 8 8 0 7 7 1107
24 38 83 3 0 449 1 4 6 2 2 64 3 31 0 465 7 5 94 0 1 0 0 0 1210
45 41 114 4 51 763 1 32 127 1071 269 1 0 22 5 537 0 78 121 3 30 0 41 5 384
105 7 30 0 38 290 1 2 21 628 39 4 819 4 1 108 2 13 462 50 14 3 9 12 40
671 23 182 98 73 310 9 59 40 5 56 136 70 23 68 361 11 106 19 77 11 59 7 38 738
499 1 2 1 12 397 8 19 57 0 655 7 125 165 120 105 1 49 24 15 467 0 349 113 621
720 148 75 152 46 143 10 13 15 3 14 2 3 1 53 148 0 2 22 48 418 6 3 16 599
161 482 22 2 190 689 1 239 140 78 212 47 113 53 108 7 2 7 121 16 0 15 29 205 28
17 41 48 17 108 129 121 72 83 5 2292 17 4 3 82 66 3 4 17 13 4 2 2 77 2
211 56 32 16 20 290 0 71 61 132 394 119 11 90 15 795 15 11 51 3 12 58 67 23 340
101 34 270 4 12 121 3 0 45 11 0 70 2 37 156 21 1 7 18 50 35 4 127 8 1809
156 28 6 15 197 20 111 16 208 0 1164 55 2 173 172 62 66 13 8 45 1 0 10 317 15
81 17 153 8 207 25 2 3 132 0 9 331 1 24 6 2 13 31 83 43 3 14 0 17 1323
1635 25 6 9 0 105 134 8 91 114 80 6 2 135 22 105 15 14 79 2 3 36 0 33 5
947 29 50 2 69 558 159 27 68 161 161 25 84 111 93 164 0 2 14 53 2 6 10 4 339
749 1 8 129 4 268 3 0 28 0 11 6 2 30 0 366 0 32 3 8 1078 9 6 16 154
1267 84 12 458 7 7 125 50 23 1 104 35 0 47 1195 21 11 4 3 3 2 22 1 30 14
35 3 63 37 21 136 1 79 96 0 67 180 0 7 9 377 12 109 919 13 44 5 2 231 996
60 1 9 47 19 91 19 24 162 16 63 18 8 48 79 1765 107 14 38 24 10 7 6 31 58
16 4 50 66 1 33 0 1 12 0 1 29 1 0 6 112 2 61 102 8 32 5 7 2 2544
694 139 116 18 27 81 0 28 125 3 38 28 10 105 527 56 19 21 15 44 63 7 8 27 449
150 97 38 6 695 433 12 2 281 3 45 71 14 19 2 24 1 7 1 7 0 4 0 886 282
