27 1 5 43 5 0 38 5 0 1177 163 0 50 67 10 0 3 527 0 0 8 13 3 2 0 0 5 110 0 0 0 1 2 0 1 0 0 0 5 5 47 1 12 0 20 0 1 0 4 0 14 0 0 1 0 0 3 45 0 2 1 2 0 3 5 2 0 0 2 1 10 0 0 0 0 17 0 0 0 1 1 1 1 10 1 144 0 1 0 2 1 11 0 1 13 1 47 0 0 31
0 0 0 5 101 0 1 0 1 1 1 0 0 0 7 0 0 7 0 1 287 1 0 0 1 0 0 0 0 9 7 0 1 0 0 0 0 0 0 2 0 0 0 11 8 1 0 1 0 0 0 0 0 0 8 0 1 31 0 4 1 1 0 1 64 0 0 1 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 4 50 0 0 0 1 0 15 2327 0 0 0 0 1 0 2 0
0 0 6 23 0 5 7 52 0 1 0 1 0 1 2 0 0 35 36 2 3 2 1 0 26 1 3 0 0 96 0 0 6 0 66 0 0 1 41 2 22 1 0 72 1 1448 0 217 0 16 0 0 7 0 0 0 4 2 0 19 0 45 0 4 0 0 0 0 3 50 12 0 2 1 0 12 2 0 64 0 2 0 35 6 11 0 0 3 0 30 0 5 0 24 1 3 2 0 0 6
3 0 4 10 15 334 40 3 0 1 0 0 0 1 136 0 0 20 26 158 425 0 2 0 1 3 3 0 0 63 0 0 36 0 1 0 0 2 0 5 6 1 1 48 2 288 2 14 0 176 0 3 0 0 41 3 1 0 3 0 0 7 0 560 1 6 0 1 0 6 0 0 0 13 0 4 4 1 0 0 5 14 60 4 1 71 0 28 0 0 0 6 0 6 0 1 5 362 8 59
0 3 1 0 6 1 84 5 0 0 0 0 1689 1 9 2 0 3 15 0 412 3 1 0 44 1 5 0 0 5 0 0 0 0 12 0 0 0 6 4 0 0 0 9 0 237 1 30 31 388 0 2 9 0 2 0 0 21 0 0 0 18 0 0 0 0 5 4 10 0 2 0 2 13 0 0 0 10 3 0 10 0 0 0 69 0 19 0 7 0 0 3 8 0 1 0 1 0 0 140
0 0 0 0 1 0 0 2 11 0 0 0 300 1 12 0 0 226 2 0 0 0 0 2 0 0 0 10 1 79 0 0 0 4 0 0 0 1 0 0 0 1 20 8 2 0 0 0 1 25 0 0 119 0 0 3 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 2 0 2 0 0 4 4 1068 10 10 2 2 2 7 0 1 266 0 0 13 1 2 1 0 0
0 0 0 1 3 0 8 1479 7 0 1 0 0 0 4 0 0 8 0 1 0 5 0 0 0 0 0 0 0 10 0 2 0 2 0 0 0 0 0 1 6 0 0 26 0 0 0 0 4 0 0 0 0 0 38 0 7 0 0 110 0 0 0 0 1 1 0 0 0 0 2 10 0 0 0 1 0 16 0 2 1 1 24 21 0 677 14 6 0 1 0 0 0 0 0 1 0 0 0 0
1 17 9 2 36 6 4 0 0 114 1 2 23 1 8 0 63 6 1 4 0 0 6 122 252 1 2 4 0 1 0 36 0 1 1 1 2 0 40 1 0 1 11 1 2 5 6 0 0 1 0 0 0 0 0 4 0 0 2 0 9 10 1214 0 0 0 0 4 56 8 26 1 108 4 0 0 0 168 2 3 0 1 73 0 0 132 0 10 0 0 3 14 0 2 0 3 0 0 0 2
0 17 1 0 1 0 2 41 0 19 0 0 4 232 14 0 0 349 1 0 81 27 2 31 23 0 11 0 5 316 23 3 2 0 2 12 2 2 0 0 0 0 1 113 0 523 0 0 188 25 0 21 2 0 0 1 0 1 0 3 500 185 0 1 0 0 1 1 0 2 0 0 0 0 0 0 14 7 1 0 1 0 281 51 222 0 0 0 2 1 5 1 1 0 4 0 0 0 0 1
7 5 16 0 17 0 55 4 0 0 0 4 0 18 138 2 1 196 7 0 134 0 1 644 1 8 0 0 62 142 0 0 29 0 130 3 3 1 129 11 9 0 0 316 0 10 0 2 2 4 4 4 16 2 0 0 4 0 2 3 1 0 0 3 0 6 1 0 0 1 0 7 11 38 0 0 1 0 225 1 18 11 6 6 24 27 2 96 4 60 4 1 0 0 4 3 0 1 1 0
1 32 1 0 65 0 6 1 49 15 19 36 1 50 314 0 0 0 0 1 54 2 1 17 0 0 2 1 0 6 0 0 3 0 0 1 0 0 1 1 0 1 0 12 5 114 1 2 0 0 5 1 0 0 1 0 1 0 0 0 0 0 2 35 0 7 0 0 0 8 1 0 15 0 3 0 3 0 0 44 2 0 0 14 0 1634 0 1 0 15 8 9 0 27 0 3 0 1 0 0
0 7 5 0 40 0 10 857 1 145 2 0 1 2 9 2 0 25 0 1 1229 2 0 0 22 3 1 4 2 3 3 29 1 0 14 0 0 7 33 0 28 0 2 4 0 414 0 16 0 3 0 11 0 2 0 0 0 0 0 19 1 49 0 3 0 3 37 24 0 1 0 0 20 0 0 3 11 7 4 1 13 0 7 1 0 9 3 10 1 1 3 0 1 0 0 0 0 0 0 16
2 0 1 0 2 29 0 3 3 0 21 546 81 0 66 36 0 5 0 21 23 9 5 0 72 11 18 1 0 0 6 1 2 0 1 2 0 0 0 1 5 21 2 2 0 0 0 0 1 14 10 0 0 0 0 0 33 0 1 1 0 17 1 301 2 4 0 0 0 0 0 7 1 0 74 0 0 1 0 0 3 30 114 18 0 173 0 1595 0 4 0 0 17 1 3 9 0 48 0 190
0 4 0 0 53 0 147 16 0 35 4 1 812 70 14 2 0 839 0 1 0 0 24 0 6 5 5 140 0 0 0 2 0 67 0 1 8 0 2 15 0 2 19 0 57 5 10 0 0 1 0 2 6 11 45 0 112 0 0 1 0 1 1 0 13 4 4 0 7 0 372 21 0 2 9 0 0 3 0 1 0 9 9 17 0 24 2 16 4 0 1 2 0 0 32 20 1 25 0 178
0 4 0 0 0 1 7 1038 0 0 0 0 25 25 0 0 7 0 42 0 24 348 6 0 222 0 42 2 0 0 0 76 1 12 7 1 3 39 3 0 56 0 0 3 0 201 0 5 11 17 32 12 317 53 0 3 63 9 0 0 0 6 0 1 0 16 1 13 7 35 2 0 0 60 2 2 3 0 0 0 0 4 176 20 0 0 13 0 2 0 0 184 0 0 1 1 2 0 0 0
1 0 2 7 1386 12 0 0 4 0 1 7 36 0 0 2 2 9 3 0 59 0 0 0 172 1 1 0 1 94 102 11 0 0 13 4 0 0 0 33 0 0 0 131 2 4 0 6 7 135 7 111 3 0 8 2 0 3 0 1 0 0 0 25 6 0 1 3 0 3 0 0 1 34 5 0 19 1 45 0 2 2 116 4 0 3 0 81 7 0 6 38 28 4 1 0 2 22 2 0
1 0 0 15 198 0 54 0 0 0 0 0 14 0 13 0 0 24 9 0 1 0 9 0 0 1 0 0 0 163 0 101 12 1 1 0 0 0 0 21 0 16 2 63 0 53 1 0 457 27 8 0 42 2 11 0 1 161 0 3 0 0 0 0 11 75 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 197 227 0 67 24 0 2 0 0 4 0 0 3 5 0 0 0 2
7 0 0 2 2 0 46 1 0 33 0 3 85 1746 3 0 0 73 1 0 370 0 0 1 104 1 7 0 7 0 69 4 0 0 4 2 1 0 2 7 0 0 0 33 0 2 1 0 96 0 0 1 0 0 2 0 1 0 5 22 40 0 10 56 22 0 2 130 1 12 0 1 75 3 15 11 3 0 2 0 13 0 0 1 119 12 0 0 0 30 7 1 0 0 1 0 0 12 6 11
